open,high,low,volume,close
0.8324999809,0.8765000105,0.8184999824,138574000,0.8610000014
0.8604999781,0.8769999743,0.8349999785,187898000,0.7829999924
0.8270000219,0.8500000238,0.7810000181,177028000,0.8345000148
0.7919999957,0.8600000143,0.7875000238,192640000,0.8475000262
0.8610000014,0.8654999733,0.8195000291,129372000,0.8454999924
0.8659999967,0.8700000048,0.8075000048,122820000,0.8220000267
0.8529999852,0.8960000277,0.8000000119,255162000,0.7994999886
0.8335000277,0.8360000253,0.773999989,194722000,0.8065000176
0.7910000086,0.8115000129,0.7845000029,68904000,0.7850000262
0.8125,0.8165000081,0.7825000286,50166000,0.7429999709
0.7749999762,0.7774999738,0.7225000262,99420000,0.7319999933
0.7300000191,0.7394999862,0.7160000205,86674000,0.7059999704
0.7480000257,0.7574999928,0.7055000067,75688000,0.6644999981
0.7059999704,0.7059999704,0.6579999924,101766000,0.6244999766
0.6504999995,0.6729999781,0.6150000095,153432000,0.5914999843
0.6225000024,0.6349999905,0.5835000277,114342000,0.5680000186
0.6225000024,0.6324999928,0.5600000024,122190000,0.6265000105
0.5634999871,0.6349999905,0.5600000024,213046000,0.6539999843
0.6340000033,0.6600000262,0.6294999719,195548000,0.6200000048
0.6564999819,0.663500011,0.6190000176,126334000,0.6405000091
0.6355000138,0.6570000052,0.6284999847,138940000,0.6625000238
0.6269999743,0.6869999766,0.6019999981,132790000,0.7020000219
0.690500021,0.7124999762,0.6825000048,152488000,0.7179999948
0.711499989,0.7294999957,0.6884999871,110334000,0.7074999809
0.7154999971,0.7325000167,0.6859999895,89780000,0.7264999747
0.7049999833,0.7354999781,0.6924999952,126690000,0.7064999938
0.7245000005,0.7250000238,0.6999999881,54022000,0.7634999752
0.7139999866,0.7724999785,0.7099999785,241664000,0.7634999752
0.7450000048,0.7860000134,0.7400000095,181824000,0.7904999852
0.7674999833,0.7950000167,0.7555000186,160020000,0.7804999948
0.80400002,0.8059999943,0.7799999714,172854000,0.7670000196
0.7714999914,0.7900000215,0.7475000024,116436000,0.8245000243
0.7850000262,0.8270000219,0.7850000262,119530000,0.8489999771
0.8130000234,0.8500000238,0.8050000072,136966000,0.8004999757
0.8470000029,0.8709999919,0.8004999757,146316000,0.8174999952
0.7919999957,0.8245000243,0.7914999723,74124000,0.7979999781
0.8034999967,0.8324999809,0.7940000296,73462000,0.8245000243
0.8075000048,0.8399999738,0.8069999814,104256000,0.8489999771
0.8264999986,0.8625000119,0.8224999905,74714000,0.8015000224
0.851000011,0.8565000296,0.7979999781,173278000,0.6029999852
0.6809999943,0.6999999881,0.5950000286,651458000,0.5755000114
0.6144999862,0.6154999733,0.5534999967,251194000,0.61650002
0.5835000277,0.6374999881,0.5615000129,210050000,0.6125000119
0.61650002,0.6215000153,0.5849999785,181518000,0.6274999976
0.6104999781,0.6374999881,0.5989999771,103620000,0.6244999766
0.6320000291,0.6430000067,0.6115000248,87578000,0.625
0.636500001,0.6430000067,0.6085000038,110212000,0.6094999909
0.6294999719,0.6299999952,0.6050000191,77450000,0.6075000167
0.6119999886,0.6194999814,0.6054999828,61698000,0.5950000286
0.6090000272,0.6100000143,0.5924999714,53236000,0.5799999833
0.5945000052,0.5950000286,0.5759999752,51204000,0.5554999709
0.5755000114,0.5774999857,0.5515000224,67468000,0.5230000019
0.5569999814,0.5584999919,0.5124999881,120980000,0.4975000024
0.5289999843,0.5325000286,0.4970000088,183746000,0.5059999824
0.5049999952,0.5149999857,0.488499999,96630000,0.5264999866
0.5159999728,0.5519999862,0.5134999752,96142000,0.5040000081
0.52700001,0.5414999723,0.5,67170000,0.4905000031
0.5040000081,0.5074999928,0.4699999988,124542000,0.4995000064
0.4754999876,0.5044999719,0.4724999964,107212000,0.5199999809
0.5095000267,0.5205000043,0.4975000024,72280000,0.4945000112
